id,total
OTU3816,85
OTU5041,85
OTU6126,85
OTU7179,85
OTU3250,84
OTU3466,84
OTU3002,83
OTU7126,83
OTU2110,82
OTU2883,82
OTU4473,82
OTU7154,82
OTU290,81
OTU3055,81
OTU3549,81
OTU4491,81
OTU6075,81
OTU6270,81
OTU7120,81
OTU7697,81
OTU690,80
OTU2937,80
OTU5785,80
OTU6259,80
OTU3288,79
OTU6307,79
OTU7373,79
OTU1018,78
OTU2123,78
OTU2484,78
OTU3821,78
OTU3902,78
OTU5653,78
OTU5907,78
OTU6055,78
OTU2114,77
OTU3447,77
OTU3558,77
OTU4059,77
OTU4216,77
OTU5217,77
OTU7051,77
OTU7539,77
OTU687,76
OTU1880,76
OTU2808,76
OTU3796,76
OTU6073,76
OTU6217,76
OTU1045,75
OTU1895,75
OTU3903,75
OTU5743,75
OTU3904,74
OTU3934,74
OTU6379,74
OTU834,73
OTU2145,73
OTU6162,73
OTU6251,73
OTU7185,73
OTU7525,73
OTU106,72
OTU970,72
OTU1375,72
OTU1711,72
OTU4512,72
OTU6301,72
OTU681,71
OTU2140,71
OTU3189,71
OTU3304,71
OTU3311,71
OTU3492,71
OTU3673,71
OTU3690,71
OTU3708,71
OTU3895,71
OTU4811,71
OTU6131,71
OTU6168,71
OTU7637,71
OTU324,70
OTU1483,70
OTU1546,70
OTU1776,70
OTU2191,70
OTU2236,70
OTU2648,70
OTU3317,70
OTU3526,70
OTU3625,70
OTU4100,70
OTU4211,70
OTU4726,70
OTU5967,70
OTU7043,70
OTU7430,70
OTU2472,69
OTU3294,69
OTU4353,69
OTU5143,69
OTU6670,69
OTU6733,69
OTU7475,69
OTU2679,68
OTU3246,68
OTU3315,68
OTU4354,68
OTU4402,68
OTU5153,68
OTU5372,68
OTU6815,68
OTU940,67
OTU1175,67
OTU1217,67
OTU3025,67
OTU3956,67
OTU4458,67
OTU4606,67
OTU5459,67
OTU5493,67
OTU672,66
OTU1767,66
OTU1952,66
OTU2067,66
OTU2119,66
OTU2326,66
OTU3361,66
OTU4581,66
OTU5188,66
OTU6246,66
OTU6384,66
OTU121,65
OTU1954,65
OTU3935,65
OTU3986,65
OTU5593,65
OTU6153,65
OTU6567,65
OTU974,64
OTU1991,64
OTU3223,64
OTU3698,64
OTU3711,64
OTU3784,64
OTU5283,64
OTU6040,64
OTU6130,64
OTU6826,64
OTU7676,64
OTU1531,63
OTU3495,63
OTU4244,63
OTU6522,63
OTU6526,63
OTU6927,63
OTU1775,62
OTU1983,62
OTU3482,62
OTU4330,62
OTU4611,62
OTU6108,62
OTU6127,62
OTU6294,62
OTU6511,62
OTU7760,62
OTU1576,61
OTU2847,61
OTU3297,61
OTU3905,61
OTU4176,61
OTU4802,61
OTU6456,61
OTU129,60
OTU572,60
OTU793,60
OTU1894,60
OTU2487,60
OTU3824,60
OTU3910,60
OTU7083,60
OTU552,59
OTU1140,59
OTU1545,59
OTU1820,59
OTU2716,59
OTU3593,59
OTU3634,59
