sample,river,zone,site,habitat,Lat,Lon,oxygen,oxygen_sat,temperature,chloride,doc,ammonium,nitrate,phosphate,tn,tp,don,np,benthic_type,afdm,chl
95,Madison,MC,UP,CZ,45.7283,-111.5183,9.88,108.2,19.7,14.064,2.274,1.5,1,63.3,164,11.6,161.5,0.1,Epilithon,3.463,93.7
97,Madison,OC,UP,OS,45.728,-111.519,8.84,100.2,21.5,15.373,2.482,5.6,4,68,174,21.5,164.4,0.3,Epilithon,49.35,779.69
99,Madison,OC,UP,PN,45.7246,-111.5203,1.02,9.9,14.1,23.886,6.255,250.8,5,77.3,881.6,40.4,625.8,7.3,FBOM,2058.118,460.71
100,Madison,MC,MD,SR,45.7905,-111.5116,9.59,108.3,21.3,16.106,2.379,1.5,1,64.7,161.4,14.3,158.9,0.1,Epilithon,15.38,92.26
101,Madison,MC,MD,RN,45.7921,-111.512,9.51,108.6,21.9,10.214,2.375,5.9,3,52,154.4,13.9,145.5,0.4,Epilithon,11.316,92.32
102,Madison,MC,MD,PO,45.7873,-111.5124,9.59,108,21.2,15.861,2.284,2.6,1,63,157.4,13.7,153.8,0.1,,,
103,Madison,OC,MD,FC,45.7746,-111.5168,9.36,103.1,20.1,16.112,2.339,4.9,1.3,65,184.9,15,178.6,0.2,Epilithon,14.046,15.27
104,Madison,MC,MD,SL,45.7855,-111.5137,9.51,109.8,22.5,16.103,2.409,2.4,1,64.3,153.2,13.1,149.8,0.1,Epilithon,1.652,57.28
106,Madison,OC,MD,BK,45.7853,-111.5137,10.19,120.3,23.6,15.871,2.445,59.3,1.3,69.3,188.2,18.4,127.6,1.9,FBOM,9.594,93.83
108,Madison,MC,MD,CZ,45.7752,-111.5178,9.25,101.5,19.8,14.596,1.867,11.1,1.3,74.7,129.8,18.9,117.4,0.4,Epilithon,19.161,51.59
110,Madison,OC,MD,PN,45.7766,-111.5161,2.2,20.2,11.6,19.048,1.764,13.8,10,70.7,106.8,12,83,0.7,Epilithon,12.62,75.85
111,Madison,OC,MD,PN,45.7784,-111.5159,4.58,50.3,19.9,21.461,3.049,48.4,1.7,83,,,,1.3,Epilithon,1.427,23.6
112,Madison,MC,DW,SR,45.8221,-111.5007,6.99,88.7,19.7,15.659,2.227,76.5,2.7,60.3,195.5,18.1,116.4,2.9,Epilithon,2.469,45.84
113,Madison,MC,DW,RN,45.816,-111.5052,7.24,99.3,23.1,14.075,2.293,6.9,3.3,65.7,165.3,15.4,155.1,0.3,Epilithon,15.276,57.93
114,Madison,MC,DW,PO,45.8167,-111.5029,8.64,105.6,25.5,16.093,2.43,4.8,1,68.7,206.6,29.4,200.8,0.2,,,
115,Madison,OC,DW,FC,45.8125,-111.5026,8.87,108.9,25.4,15.175,2.374,1.5,1,64.7,179.4,15.8,176.9,0.1,Epilithon,3.116,14.37
116,Madison,MC,DW,SL,45.8144,-111.5043,7.16,98.6,23.6,13.905,2.198,1.5,1,62,180.7,17.1,178.2,0.1,Epilithon,0.892,55.55
118,Madison,OC,DW,BK,45.8165,-111.5045,8.88,121.1,23.2,15.768,2.287,5.2,1,61.3,190.8,19.8,184.6,0.2,FBOM,13.288,174.49
120,Madison,MC,DW,CZ,45.8192,-111.5016,8.6,105.5,25.7,15.976,2.288,2.6,1,65,203.8,20.9,200.2,0.1,Epilithon,6.406,189.45
122,Madison,OC,DW,PN,45.8125,-111.503,4.39,52,22.7,14.035,1.989,99.3,5.3,91,152.3,20.7,47.6,2.5,FBOM,3.885,93.25
123,Clark fork,MC,UP,SR,46.6066,-113.0423,6.84,83.2,17.7,5.938,2.815,1.5,1.5,40,225.7,29.1,222.7,0.2,Epilithon,1.908,48.29
124,Clark fork,MC,UP,RN,46.6088,-113.0455,9.54,104.9,19.9,5.317,2.859,1.5,1.5,47.7,305,31.6,302,0.1,Epilithon,6.31,134.61
125,Clark fork,MC,UP,PO,46.6088,-113.0432,6.68,80.2,17.2,5.567,2.654,1.5,1.5,54,259.8,34.3,256.8,0.1,,,
126,Clark fork,MC,UP,SL,46.6084,-113.0438,6.61,78.8,16.9,4.467,2.654,246.9,2.8,69.7,251.5,19.7,1.7,7.9,Epilithon,6.35,44.21
128,Clark fork,OC,UP,BK,46.6101,-113.0461,6.31,75.7,17.3,4.931,2.893,29.4,1.5,49,952.3,55.9,921.4,1.4,FBOM,28.48,369.27
130,Clark fork,MC,UP,CZ,46.6127,-113.0463,9.58,103.5,19.1,5.996,2.675,2,4.8,46.3,263.5,27.9,256.7,0.3,FBOM,8.433,51.17
132,Clark fork,OC,UP,PS,46.61,-113.0466,4.63,54.2,16.1,4.797,1.947,8.4,1.5,95,169.1,80.3,159.2,0.2,FBOM,9.272,277.41
134,Clark fork,OC,UP,OS,46.6081,-113.0441,2.57,25.9,15.8,5.094,1.807,1.5,1.5,47.7,137.7,32.2,134.7,0.1,FBOM,9.968,142.8
136,Clark fork,OC,UP,FC,46.6118,-113.0487,5.53,64.3,15.9,6.174,3.238,1.5,6.5,39,242.6,31.9,234.6,0.5,Epilithon,0.74,16.2
137,Clark fork,OC,UP,PN,46.6062,-113.0434,10.02,131.7,21.5,6.191,7.485,7,1.5,53,754.2,52,745.7,0.4,FBOM,39.36,75.73
138,Clark fork,MC,MD,SR,46.6242,-113.0844,6.61,78.8,16.9,6.487,2.513,1.5,1.5,29.7,224,25.3,221,0.2,Epilithon,22.144,38.28
139,Clark fork,MC,MD,RN,46.6221,-113.0808,6.33,74.9,16.7,6.661,2.761,1.6,2.5,30,222.2,31.5,218.1,0.3,Epilithon,1.516,39.07
140,Clark fork,MC,MD,PO,46.6226,-113.0856,6.26,74,17.1,6.039,2.622,1.5,1.5,27.7,281.9,29.2,278.9,0.2,,,
141,Clark fork,OC,MD,FC,46.6252,-113.0933,5.92,72.2,17.9,4.301,2.039,6.9,5.8,33,224.9,25.7,212.2,0.9,,,
142,Clark fork,MC,MD,SL,46.624,-113.0845,6.41,76,16.8,6.208,2.588,1.5,1.5,36,227.6,27.1,224.6,0.2,Epilithon,5.208,59.24
144,Clark fork,OC,MD,BK,46.6228,-113.0897,5.67,68.5,17.6,6.065,2.546,20.9,4.2,46,265.6,29.6,240.5,1.2,FBOM,9.144,38.76
146,Clark fork,OC,MD,PS,46.6227,-113.09,5.28,58.1,13.1,3.07,1.49,29.2,81.8,42,320.9,32.2,209.9,5.8,Epilithon,8.923,488.31
148,Clark fork,OC,MD,OS,46.6217,-113.0795,6.36,72.3,14.8,7.173,1.88,5.6,1.5,31.7,936.8,219.9,929.7,0.5,FBOM,20.064,86.79
150,Clark fork,OC,MD,PN,46.622,-113.0782,4.39,48.43,15.67,10.43,9.695,186.3,2.2,14.3,690.7,40.7,502.2,29.1,FBOM,27.448,767.87
151,Clark fork,MC,DW,SR,46.6361,-113.1036,7.58,92.8,18.1,6.204,2.369,1.5,1.5,33.7,205.9,25.9,202.9,0.2,Epilithon,20.716,155.98
152,Clark fork,MC,DW,RN,46.6372,-113.1071,7.77,98.6,19.8,6.348,2.403,5.4,2.5,31,207.6,20,199.7,0.6,Epilithon,22.181,896.57
153,Clark fork,MC,DW,PO,46.636,-113.1038,7.52,93.4,18.7,5.856,2.302,1.5,1.5,36,266.7,27.1,263.7,0.2,,,
154,Clark fork,OC,DW,FC,46.6387,-113.1158,6.91,89.6,20.9,6.351,2.653,16.2,43.2,80.3,295.7,70.6,236.3,1.6,FBOM,25.853,104.22
155,Clark fork,MC,DW,SL,46.6345,-113.1059,7.48,93.7,19.2,6.065,2.364,1.5,1.5,40,207,25.7,204,0.2,Epilithon,5.767,82.58
157,Clark fork,OC,DW,BK,46.6371,-113.1092,7.61,98.8,21.1,6.027,2.322,1.6,1.5,40,268,28.8,264.9,0.2,FBOM,16.567,50.02
159,Clark fork,MC,DW,CZ,46.6395,-113.1162,7.5,97.2,21,6.255,2.425,1.5,2.8,39.7,203.1,23.7,198.8,0.2,Epilithon,6.349,28.94
161,Clark fork,OC,DW,OS,46.6369,-113.1089,7.4,98.1,22.4,5.552,1.977,55.3,1.5,30.7,149.5,17.1,92.7,4.1,Epilithon,3.373,24.96
163,Clark fork,OC,DW,PN,46.6367,-113.1042,5,66.1,22.7,6.538,3.741,1.5,1.8,12,307.2,13,303.9,0.6,FBOM,9.35,692.89
164,Big Hole,MC,UP,SR,45.5364,-113.4882,8.4,97.7,12.2,1.263,11.854,8.6,3.7,43.5,592.4,59,580.1,0.6,Epilithon,0.237,0.313
165,Big Hole,MC,UP,RN,45.5383,-113.489,8.3,96.8,12.4,1.062,12.046,5.1,3.7,50.8,562.1,52.6,553.3,0.4,Epilithon,0.572,0.162
166,Big Hole,OC,UP,FC,45.5297,-113.4891,4.2,46.7,9.9,2.501,6.287,26.7,2,26.2,364.5,93.9,335.8,2.4,Epilithon,1.009,0.103
167,Big Hole,MC,UP,SL,45.533,-113.4862,8.3,94.5,11.7,0.77,11.294,3.5,2.7,34.8,568.3,59,562.2,0.4,Epilithon,0.555,0.16
169,Big Hole,OC,UP,BK,45.5344,-113.4867,6.8,82.8,13.7,1.467,12.053,57.5,8,49.2,625.6,70.9,560.1,2.9,FBOM,6.844,8.43
171,Big Hole,MC,UP,CZ,45.5399,-113.489,8.5,101.5,13.4,1.25,12.531,1.5,3.3,38.2,708.7,86.6,703.9,0.3,Epilithon,0.683,22.105
173,Big Hole,OC,UP,PS,45.5431,-113.4882,4.3,53.4,14.7,0.884,9.937,1.5,534,51.5,478.3,69.5,25,23,Epilithon,1.158,1.638
175,Big Hole,OC,UP,OS,45.5473,-113.4898,1.1,15.9,11.1,2.121,8.828,1.5,5,31.5,449,91.2,442.5,0.5,FBOM,6.272,0.059
177,Big Hole,OC,UP,PN,45.5425,-113.4884,8.5,101.5,13.2,2.317,11.398,3.4,5.3,25.2,599.1,37.8,590.4,0.8,FBOM,4.352,6.169
178,Big Hole,MC,MD,SR,45.5641,-113.4896,8.6,98.4,11.4,0.884,12.498,1.8,4.3,43.5,593.9,59.7,587.8,0.3,Epilithon,0.516,10.752
179,Big Hole,MC,MD,RN,45.5651,-113.4879,8.3,93.1,11,2.036,12.279,4.5,7,47.5,641,61.6,629.5,0.5,Epilithon,0.594,0.58
180,Big Hole,OC,MD,FC,45.5589,-113.4891,9.1,106.4,12.4,0.341,8.413,3.5,4.3,38.8,442.1,47.2,434.3,0.4,Epilithon,0.149,0.117
181,Big Hole,OC,MD,BK,45.5643,-113.4899,8.1,95.1,12.9,1.067,12.069,3.3,4,54.2,575.8,58.7,568.5,0.3,FBOM,15.52,9.282
183,Big Hole,MC,MD,CZ,45.5606,-113.4905,8.3,101.8,14.9,1.243,12.302,2.4,5.3,51.2,633.4,62.3,625.7,0.3,Epilithon,0.262,13.493
185,Big Hole,OC,MD,OS,45.5592,-113.488,6,73.5,14.7,1.137,12.701,1.5,2,42.8,682.9,94.5,679.4,0.2,FBOM,7.674,0.087
187,Big Hole,OC,MD,PN,45.5553,-113.4889,6.3,80.4,16.5,2.015,11.88,4.3,6,46.8,585.4,59.1,575.1,0.5,FBOM,1.854,0.907
188,Big Hole,MC,DW,SR,45.6081,-113.4614,8,94.3,12.8,1.489,12.516,2.9,4.7,42.8,629.6,65.1,622,0.4,Epilithon,1.103,117.707
189,Big Hole,MC,DW,RN,45.6111,-113.4608,8.1,92.8,12,1.907,20.294,9.1,6,50.2,658.9,64.8,643.8,0.7,Epilithon,0.838,1.156
190,Big Hole,MC,DW,PO,45.6085,-113.461,8.1,96.3,13.2,1.082,12.316,1.5,2.7,42.8,604.7,63,600.5,0.2,,,
191,Big Hole,OC,DW,FC,45.6086,-113.4604,7.5,87.1,12.1,1.587,14.211,3.1,3.3,52.8,764,57.6,757.6,0.3,Epilithon,0.646,0.217
192,Big Hole,OC,DW,BK,45.6114,-113.461,2.2,25.1,12,1.256,10.251,3.9,6.3,41.5,502.6,61.7,492.4,0.5,FBOM,7.05,23.724
194,Big Hole,MC,DW,CZ,45.6098,-113.4618,8,92.3,12.1,1.152,12.441,2,3.3,50.8,624.9,69.5,619.5,0.2,Epilithon,0.449,0.316
196,Big Hole,OC,DW,PS,45.6001,-113.4672,2.6,28.9,9.6,1.71,7.522,1.5,3.3,22.2,400.3,128.7,395.5,0.5,FBOM,7.057,0.42
198,Big Hole,OC,DW,PN,45.6072,-113.4615,2.9,33.3,11.6,5.632,24.104,3.9,770,34.5,1309.3,129.2,535.4,49.6,FBOM,24.214,18.032
199,Big Horn,MC,UP,SR,45.643,-107.656,9.36,98.2,13,7.051,3.306,22.7,341,5.3,555.2,20.4,191.5,150.8,Epilithon,0.35,9.164
200,Big Horn,MC,UP,RN,45.6442,-107.6595,11.36,127.4,16.3,4.696,3.031,26.7,279,3.7,,,,184.4,Epilithon,0.87,25.2
201,Big Horn,MC,UP,PO,45.6615,-107.6202,9.28,99.9,13.8,4.871,3.019,1.5,253.3,4,557.8,15.7,303,140.9,SPOM,0.02,
202,Big Horn,OC,UP,FC,45.6767,-107.6052,8.79,101.2,17.2,6.306,3.502,1.5,274.3,4.3,905.7,13.8,629.9,140.8,FBOM,3.12,77.003
203,Big Horn,OC,UP,BK,45.6439,-107.6597,9.86,114.15,17.6,5.838,3.204,1.5,239,2.7,475.5,8.3,235,199.5,FBOM,9.27,35.788
205,Big Horn,MC,UP,CZ,45.6437,-107.6592,11.31,129,16.7,2.963,3.36,1.5,128,2.3,467.3,8.1,337.8,122.8,FBOM,0.46,2.136
207,Big Horn,OC,UP,BK,45.6643,-107.6144,2.6,31.6,19.9,5.904,6.612,307.7,140.5,26,,,,38.1,FBOM,10.27,3425.246
209,Big Horn,MC,MD,SR,45.7169,-107.5808,11.04,124.3,16.1,7.157,3.399,29.1,335.3,5.3,297.2,7.8,25,151.2,Epilithon,0.26,2.283
210,Big Horn,MC,MD,RN,45.6765,-107.6043,10.66,116.6,14.7,7.18,2.892,1.5,283.7,3.3,571.6,12.1,286.4,189.2,Epilithon,2.69,19.409
211,Big Horn,MC,MD,PO,45.6868,-107.5982,10.54,115.5,14.8,7.144,2.874,1.5,307,4,519.3,11,210.8,170.6,SPOM,0.02,
212,Big Horn,MC,MD,SL,45.693,-107.5908,11.54,130.1,16.1,5.323,3.302,13.4,220.7,5.7,668.3,22.8,434.3,91.4,Epilithon,1.51,4.859
214,Big Horn,OC,MD,BK,45.6929,-107.5906,9.6,108.5,16.2,7.046,3.276,1.5,292,4,,,,162.3,FBOM,1.74,4.101
216,Big Horn,OC,MD,PN,45.7562,-107.5653,8.34,119.7,28.6,23.736,8.993,1.5,8.7,5,632.1,25.9,621.9,4.5,FBOM,2.69,4.369
217,Big Horn,MC,DW,RN,45.863,-107.5745,8.38,95.4,16.7,3.143,3.766,7.7,151.3,3,,,,117.3,Epilithon,0.4,9.487
218,Big Horn,MC,DW,PO,45.8455,-107.5826,8.1,91.4,16.4,8,2.829,4.4,317.5,4,397.8,8.9,75.9,178,SPOM,0.02,
219,Big Horn,OC,DW,FC,45.8544,-107.5834,8.22,93.2,16.6,6.736,2.199,2.5,270.7,3.3,,,,181.3,FBOM,4.04,6.89
220,Big Horn,MC,DW,SL,45.8861,-107.5715,8.29,96.5,17.6,6.793,3.704,13.8,232,3.3,275.7,8.4,29.9,163.1,FBOM,3.45,32.02
222,Big Horn,OC,DW,BK,45.8862,-107.5709,7.89,93,18.1,6.396,3.448,11.3,237,4,555.8,13.5,307.5,137.3,FBOM,4.32,13.745
224,Big Horn,MC,DW,CZ,45.8559,-107.5768,8.07,91.6,16.5,5.157,3.427,1.7,193.3,3,275.2,6.8,80.2,143.8,FBOM,4.72,3.717
226,Big Horn,OC,DW,BK,45.8652,-107.5738,7.92,99.9,21.6,38.276,4.461,10.6,210,9,922.8,80.4,702.2,54.2,FBOM,2.9,3.054
228,Big Horn,OC,DW,OS,45.9236,-107.5785,7.66,92.9,19.6,5.618,5.237,1.8,208.3,31,,,,15,FBOM,7.79,14.418
230,Tongue,MC,UP,SR,46.3355,-105.7856,7.55,102.2,25.9,2.084,4.375,3.1,3,12.3,85.2,3,79.1,1.1,Epilithon,0.29,0.2
231,Tongue,MC,UP,RN,46.3293,-105.7887,7.63,99.5,24.1,3.997,4.498,1.4,3,11.7,221.3,21.7,216.9,0.8,FBOM,4.09,1.1
232,Tongue,MC,UP,PO,46.3335,-105.7844,7.34,98.3,25.5,2.33,4.405,1.1,0.7,7.3,,,,0.5,,,
233,Tongue,OC,UP,FC,46.3307,-105.7898,7.24,94,23.9,2.31,4.324,1.4,3.8,7,578.1,45.7,572.9,1.7,FBOM,5.25,4
234,Tongue,MC,UP,SL,46.3369,-105.7868,7.03,97.9,27.4,2.498,4.447,1.4,6.8,9,,,,2,Epilithon,0.11,0.5
236,Tongue,MC,UP,RN,46.3402,-105.7934,8.13,112.2,26.9,2.465,4.499,8.4,3.7,10,,,,2.7,SPOM,0.02,0.1
237,Tongue,MC,UP,CZ,46.3296,-105.7875,7.35,96.1,24.5,2.517,4.059,16,4.3,8.7,,,,5.2,SPOM,0.01,0.1
