sample,river,zone,site,habitat,Lat,Lon,oxygen,oxygen_sat,temperature,chloride,doc,ammonium,nitrate,phosphate,tn,tp,don,np,benthic_type,afdm,chl
289,Missouri,MC,DW,PO,48.0925,-105.33,9.46,105.3,17.6,9.924,2.56,14.6,4.2,9.3,282.4,6.2,263.6,4.5,,,
290,Missouri,OC,DW,FC,48.0853,-105.2704,7.57,96.4,24.6,10.109,3.783,33.3,5.1,9,249.5,7.7,211.1,9.4,FBOM,11.39,14
291,Missouri,MC,DW,SL,48.0801,-105.3094,9.53,109.2,19.2,9.333,2.519,0.8,2,9,190.5,9.2,187.7,0.7,FBOM,2.53,1.8
293,Missouri,OC,DW,BK,48.0798,-105.2992,11.95,162.5,28.3,9.023,2.546,8.3,1,12.7,273.2,12.6,263.9,1.6,FBOM,1.65,11.2
295,Missouri,MC,DW,CZ,48.0854,-105.2699,9.28,107.7,19.7,10.323,3.415,1.4,4,9.3,220.6,7,215.2,1.3,FBOM,4.98,14.3
297,Missouri,OC,DW,OS,48.098,-105.2528,11.11,143.8,25.1,29.402,5.057,40.1,4.2,23.7,315.1,8,270.8,4.1,FBOM,4.58,14.3
299,Missouri,OC,DW,PN,48.0941,-105.2465,13.35,185.2,29.1,27.53,8.211,14.7,3.3,21.3,569.4,17,551.3,1.9,FBOM,2.41,9.6
300,Milk,MC,UP,SR,48.3632,-106.9272,8.11,106.5,24.6,11.574,6.622,9.2,4,12.7,,,,2.3,SPOM,0.02,
301,Milk,MC,UP,RN,48.3761,-106.9519,7.68,100.6,24.6,12.245,5.091,9.2,4.3,13.3,176,10.8,162.5,2.2,SPOM,0.02,
302,Milk,MC,UP,PO,48.3731,-106.9741,7.65,98.1,23.9,10.343,6.666,3.8,4.7,10,445.6,19.3,437.2,1.9,,,
303,Milk,OC,UP,OS,48.3796,-106.9665,6.12,75,21.1,4.933,13.665,7.7,3.5,139.7,949.6,202.4,938.4,0.2,FBOM,3.32,19.94
304,Milk,MC,UP,SL,48.3759,-106.9339,7.36,100.8,26.8,11.82,6.465,1.4,7,13.3,217.2,11.9,208.8,1.4,FBOM,1.45,0.01
305,Milk,OC,UP,BK,48.3785,-106.9583,7.41,98.1,25.3,11.871,6.367,10.6,1.7,14.3,421.2,23.6,408.9,1.9,FBOM,4.93,0.01
306,Milk,MC,UP,RN,48.373,-106.9235,7.85,101.5,24.5,12.359,8.391,27.7,10.3,20,,,,4.2,SPOM,0.03,
307,Milk,OC,UP,PS,48.3758,-106.9666,8.14,98.3,20.6,17.054,3.269,364.3,6,21.7,552.3,41.9,182,37.8,FBOM,4.19,0.01
308,Milk,MC,MD,RN,48.3529,-106.8907,7.09,88.8,23,6.998,6.841,6.9,1.7,12.3,201.3,14.6,192.8,1.5,SPOM,0.02,
309,Milk,MC,MD,RN,48.36,-106.9052,7.36,91.5,22.6,10.082,6.471,14.5,1.7,12.7,232.3,14.2,216.1,2.8,SPOM,0.18,
310,Milk,MC,MD,PO,48.3575,-106.9022,7.11,88.4,22.6,11.228,6.279,4.1,3.3,14,386.1,20.5,378.6,1.2,,,
311,Milk,MC,MD,SL,48.348,-106.8908,7.53,97.9,24.7,10.902,6.28,4,2.5,13,266.2,15.6,259.7,1.1,FBOM,8.96,0.01
312,Milk,OC,MD,BK,48.3622,-106.8897,7.33,92.4,23.1,11.152,6.465,1.2,6,13.7,385.9,30.2,378.7,1.2,FBOM,3.12,1.63
313,Milk,OC,MD,PS,48.3622,-106.8897,5.47,61.7,17.2,30.039,6.766,209.9,5.7,29.7,281.8,19.4,66.2,16.1,,,
314,Milk,MC,MD,RN,48.3461,-106.8868,7.34,93.8,23.3,6.324,6.29,3.9,2.7,12.3,368.8,17.2,362.2,1.2,,,
315,Milk,MC,MD,RN,48.3623,-106.8915,7.24,90.1,22.7,7.754,6.383,7.8,1.3,12.7,190.6,11.4,181.4,1.6,SPOM,0.05,
316,Milk,MC,MD,RN,48.3606,-106.8853,7.75,97.8,23.1,11.006,6.2,5.7,0,11.7,204.1,13.2,198.4,1.1,SPOM,0.02,
317,Milk,MC,DW,RN,48.3477,-106.8516,7.66,98.4,23.7,11.078,6.04,39.7,1.5,12.7,432.6,30.9,391.4,7.2,SPOM,0.03,
318,Milk,MC,DW,PO,48.3367,-106.8383,7.91,101.2,23.9,10.065,6.007,3.5,2,14,418.8,22.1,413.3,0.9,,,
319,Milk,OC,DW,FC,48.3125,-106.8251,14.28,192.4,27.5,9.545,6.773,30.3,16.5,12.7,,,,8.2,FBOM,8.03,0.01
320,Milk,OC,DW,BK,48.3282,-106.835,8.17,105.9,24.4,9.442,6.234,1.4,3.3,11.7,359.9,16.5,355.2,0.9,FBOM,1.78,0.01
321,Milk,OC,DW,PS,48.3404,-106.8451,7.1,93.1,24.8,15.64,12.781,51.1,23.5,127.7,370.1,99.7,295.5,1.3,FBOM,0.44,0.02
322,Milk,MC,DW,RN,48.3361,-106.8344,8.11,105.1,24.1,5.827,6.402,1.2,1.3,10.3,193.4,12,190.9,0.5,SPOM,0.18,
323,Milk,MC,DW,RN,48.3249,-106.8278,8.44,108.5,24.3,9.356,6.718,1.2,4.3,13.3,214,12.9,208.5,0.9,SPOM,0.02,
324,Milk,OC,DW,PN,48.3486,-106.879,7.13,95.2,26.1,10.095,6.776,17.7,4,15,,,,3.2,FBOM,4.1,0.01
325,Swan,MC,UP,SR,47.7435,-113.8273,9.77,107.8,14.8,0.187,0.938,1.5,16.2,1.6,63.1,3.6,45.4,24.2,Epilithon,0.1,0.8
326,Swan,MC,UP,RN,47.7458,-113.8278,9.34,101.5,14.1,0.436,1.188,1.5,18.2,1.3,99.7,2.6,80,33.9,Epilithon,0.69,3.6
327,Swan,MC,UP,PO,47.7442,-113.8272,8.89,106.8,18.5,0.222,1.956,1.5,3.9,1.3,78.3,1.5,72.9,9.2,,,
